,Line #,Name,Description,Designator,Quantity,LCSC,Manufacturer 1,Manufacturer Part Number 1
,33,10k 1%,"Resistor, 10k, 1%, ±25ppm, 1/16W, 1005, 0402","R6, R10, R13, R19, R31, R36, R41, R69, R70, R71, R76, R77, R83, R86",14,C25744,Royal Ohm,0402WGF1002TCE
,40,EVQ-PUC02K,"Small-sized Side-operational SMD Light Touch Switches with straight terminals, with boss.","S1, S2",2,C79174,Panasonic,EVQ-PUC02K
,41,PEC11R-4215F-S0024,"Rotary Encoders 15mm SHAFT w/SWITCH 24 detents, 24 PPR",S3,1,C143790,Bourns,PEC11R-4215F-S0024
,42,GT-TC120A-H120-L1,"Tactile switch SMD, black round button 12mm.","S4, S5",2,C2762973,G-Switch,GT-TC120A-H120-L1
,,5001,"Black PC Test Point, Miniature Phosphor Bronze, Silver Plating 0.040"" (1.02mm) Hole Diameter Mounting Type","TP31, TP32",2,,Keystone,5001
,43,TPD4S480RUKR,USB Type-C™ 48V EPR port protector with short-to-VBUS overvoltage and IEC ESD protection 20-WQFN -40 to 125,U1,1,C43131250,Texas Instruments,TPD4S480RUKR
,45,TPS26750,TPS26750 USB Type-C® and USB PD Controller With Integrated Power Switches,U3,1,C42166327,Texas Instruments,TPS26750SRSMR
,46,LTC7004x,Fast 60V High Side NMOS Static Switch Driver.,U4,1,C690106,Analog Devices,LTC7004EMSE#TRPBF
,48,CAT24C512YI-GT3,512 Kb I2C CMOS Serial,U6,1,C56096,onsemi,CAT24C512YI-GT3
,51,RP2040,ARM® CortexÂ-M0+ - Microcontroller IC 32-Bit Dual-Core 133MHz External Program Memory 56-QFN (7x7),U9,1,C2040,Raspberry Pi,RP2040
,53,LMR16006XDDCR,"LMR16006 SIMPLE SWITCHER® 60 V 0.6 A Buck Regulators With High Efficiency ECO mode, 600mA, input 4-65V, out 4-65V, 700kHz, SOT-6, -40°C~+125°C","U11, U12",2,C87080,Texas Instruments,LMR16006XDDCR
,54,ABM8-272-T3,Crystal 12MHz 10pF 30ppm -40C +85C,Y1,1,C20625731,Abracon,ABM8-272-T3
